"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","credible_width","psi0_mean","psi0_sd","p","sigma","delta"
"13",14,10,4.28571428571429,174.428571428571,0.15,64,5,6.63068571428572,3.64066677564207,-0.336931428571428,1.84788324700526,-0.49243274353793,5,7,0.00871100516532288,0.06,6.71428571428571,0.961664110309296,0.0323453413361013,0.1,4,2
"14",15,10,3.5,219.5,0.15,64,5,4.79577777777778,0.989698077916741,-0.520422222222222,1.41055240334913,0.42523506392804,5,7,0.00664940779751431,0,4.5,0.975393295879992,0.0211995673281464,0.1,4,3
"15",16,10,4.2,236.2,0.15,64,5,6.74499999999999,3.28701381445316,-0.325500000000001,1.91927044952904,-0.416105146534549,5,7,0.00904752766528626,0.1,7,0.976024504778662,0.0217359165631069,0.1,4,4
"16",18,10,4,70.2,0.15,64,5,5.06950888888889,2.17486041536738,-0.493049111111111,1.23491100113944,-0.4321883867058,5,7,0.00582142628711712,0.04,4.4,0.916312096173749,0.0709103077034811,0.25,1,2
"17",19,10,2.5,87,0.15,64,5,3.78453333333333,0.00622253967444156,-0.621546666666667,1.37908934720598,220.628052107155,5,7,0.0065010895284765,0,5,0.927311015742593,0.0566329813536917,0.25,1,3
"18",20,10,2,135,0.15,64,5,3.12675555555556,NA,-0.687324444444444,1.34293865000378,NA,5,7,0.00633067350756787,0,5,0.962979237144837,0.0324626744113264,0.25,1,4
"19",21,10,3.7,67.3,0.15,64,5,4.834888,2.04474765974372,-0.5165112,1.27821743777963,-0.374877661950799,5,7,0.00602557478723245,0.16,4.32,0.911434355076834,0.0734208895455192,0.25,2,1
"20",22,10,3.7,116.38,0.15,64,5,4.96321111111111,1.94486144567609,-0.503678888888889,1.35166870308149,-0.305005142609729,5,7,0.00637182737244367,0.12,4.68,0.940669658083722,0.0496866281465103,0.25,2,2
"21",23,10,4.06666666666667,148.066666666667,0.15,64,5,5.35533481481481,2.12028128754289,-0.464466518518519,1.36341215520264,-0.356966378370178,5,7,0.0064271865366397,0.06,4.66666666666667,0.949629172147268,0.0428385708064132,0.25,2,3
"22",24,10,4.58333333333333,178.25,0.15,64,5,6.28622407407408,2.44843520194699,-0.371377592592592,1.55097125139003,-0.366545926901923,5,7,0.00731134859522186,0.08,5.5,0.963355750460655,0.0323614446059863,0.25,2,4
"23",25,10,4,89.5714285714286,0.15,64,5,5.28033174603175,2.65284128847537,-0.471966825396825,1.31950187957515,-0.502608058270425,5,7,0.0062201915122399,0.08,4.57142857142857,0.916360835327324,0.0639551529307556,0.25,3,1
"24",26,10,3.66,150.98,0.15,64,5,5.03259022222222,1.77333329985485,-0.496740977777778,1.4167079798674,-0.201104507548943,5,7,0.00667842546350221,0.24,4.94,0.958377559660973,0.0347483465405718,0.25,3,2
"25",27,10,4.04,184.4,0.15,64,5,5.56413511111111,2.25850768771699,-0.443586488888889,1.46677490519955,-0.350555717309849,5,7,0.00691444321293907,0.28,5.18,0.959838847668353,0.0335995152536386,0.25,3,3
"26",28,10,4.11111111111111,213.444444444444,0.15,64,5,5.94643456790123,2.43272034581767,-0.405356543209877,1.62211763996757,-0.333208339069342,5,7,0.0076467358873559,0.3,5.8,0.969488538579273,0.0266638844850508,0.25,3,4
