"","sim","N_actual","N_mean","n_captured","tau","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"24",1,10,5.87402222222222,5,0.15,21,5,9,0,1.1532000100979,0.00543623698136414,1593572
"25",1,10,6.32046666666667,5,0.15,41,5,10,1,1.40776838382063,0.00663628380359728,6617820
"26",1,10,8.93304444444444,8,0.15,32,8,12,1,1.17704572126566,0.00554864674182374,9717295
"27",1,10,4.60704444444444,4,0.15,25,4,7,0,0.990503216751,0.0046692769423448,2574392
"28",1,10,8.69633333333333,8,0.15,41,8,11,1,0.991568658556337,0.00467429948318156,4002447
"29",1,10,5.07602222222222,4,0.15,30,4,8,0,1.29838030526238,0.00612062345606724,208086
"30",1,10,3.95615555555556,3,0.15,30,3,7,0,1.22409143913138,0.0057704223826813,461860
"31",1,10,10.3169111111111,9,0.15,29,9,14,1,1.38289103798341,0.00651901087066781,751340
"32",1,10,6.10051111111111,5,0.15,40,5,9,0,1.30419910868922,0.00614805355847735,9297724
"33",1,10,7.28406666666667,6,0.15,36,6,11,1,1.35367490135999,0.00638128468182451,4981813
"34",1,10,7.5892,7,0.15,35,7,10,1,0.984219034871006,0.00463965302486778,3297645
